Episode,Reward
1,251.9821926947024
2,989.068382679496
3,187.65252077109267
4,714.3992781835051
5,1003.9397442806688
6,678.8643613281089
7,506.10793816682525
8,677.7294710266145
9,704.491124504205
10,680.7628833230928
11,535.2947162233047
12,1185.321080445996
13,892.5329399580328
14,799.4120900644284
15,886.7966773160081
16,985.3820642200573
17,1188.5027644813306
18,1229.1868973298983
19,1014.9184996291051
20,1056.8059608238423
21,1040.3099369012366
22,1067.7407305159734
23,1369.0751158632331
24,1228.5190704078645
25,1371.8431519556166
26,985.0953959745397
27,1358.478313615136
28,1248.410701170274
29,1338.0293275665983
30,1311.2336613339323
31,1139.543538704795
32,1001.6277705074516
33,650.021529524418
34,903.7987797745935
35,906.8473817539913
36,857.7151517843711
37,816.6709888564823
38,927.6690497693211
39,862.6247992433207
40,684.543048622457
41,845.6754601396123
42,899.5490220907762
43,832.8093066950443
44,961.5865831265559
45,322.51517472463064
46,856.2981705518081
47,1158.8692135340618
48,967.9158617126175
49,603.9521621590086
50,976.1899442212751
51,1016.2575280574234
52,1130.4305543725454
53,1068.1663709574939
54,1076.2332584804294
55,703.9922492379955
56,1152.6176849960482
57,1052.8784207409612
58,1281.9633178339652
59,1153.35543334359
60,1115.0641929614972
61,1270.3874230967385
62,1414.2602572494445
63,1291.9543488411734
64,1414.447984428411
65,1289.4000129971646
66,1168.9445977904304
67,1350.8202528943514
68,1312.2323199966613
69,1681.4394634966395
70,1392.3727360002456
71,1435.2266383666813
72,1448.9476997914883
73,1447.4524557417017
74,1129.281075403134
75,1371.522503930908
76,1459.996124027908
77,1517.65106070169
78,1541.5862725148202
79,1512.829006764332
80,1664.0768642846997
81,1790.783270522646
82,1510.5600945772192
83,1588.0509467900683
84,1730.7239947368312
85,1440.5357601731068
86,1543.4252833083783
87,1359.7305227761808
88,1378.9031040239254
89,1122.2996475818695
90,1364.1434350783973
91,1266.3007364521402
92,992.9996159289263
93,1208.7496989355732
94,1093.7465307403809
95,1312.2799912655805
96,1195.5335704072786
97,1500.894829275244
98,1529.8190401674035
99,1755.0799645923648
100,1529.2650639275932
101,1725.1596241022746
102,1736.1980923030958
103,1743.0225604675127
104,1462.991804762875
105,1567.3130028627943
106,1644.3286635362444
107,1548.3910555095986
108,1613.1338868767211
109,1849.5974145839184
110,1878.4443923892018
111,1560.0095706408279
112,1607.2317661203854
113,1645.5496076011084
114,1797.372568896066
115,1582.1322366929837
116,1688.0183707059923
117,1925.8932050432843
118,1881.108224987223
119,1888.9157996841254
120,1833.8871465554687
121,1793.8318121201535
122,1581.4109978401054
123,1450.0085873345445
124,1472.9400487531707
125,1809.0797365229125
126,1614.6498459257557
127,1859.5347531890366
128,1823.1695086902555
129,1773.1162862961708
130,1770.3199107874584
131,1764.291666103104
132,1602.3584179300326
133,1705.8863169721471
134,1610.2796718254021
135,1520.6085660489728
136,1457.4836041499345
137,1633.9465681452168
138,1563.8878166466004
139,1451.985357555352
140,1708.0561722182642
141,1587.3094470561925
142,1626.9649936154374
143,1669.2038765829777
144,1774.3766357837478
145,1693.5205194148823
146,1756.398769222502
147,1901.8294317507616
148,2009.0052156738107
149,1930.3769045092952
150,2030.2504780547479
151,1889.8350582662886
152,2009.8454514774671
153,1820.0120461260462
154,1931.0354631022096
155,2090.9413335351533
156,2020.2210229122074
157,2017.397532685927
158,2130.303530874059
159,1771.2752893722845
160,1992.3636688521378
161,1921.414127015287
162,1725.1156575621674
163,1679.9878479329564
164,1985.6048864692484
165,2150.6627819670707
166,1877.2381847522402
167,1862.6641944794874
168,2002.427855066032
169,2000.940965125886
170,2125.0692796518897
171,1921.6211138856895
172,1896.149123646632
173,1929.9541624085641
174,2032.3129759684145
175,2090.813409332307
176,2259.716542078904
177,2151.60578903769
178,2244.0076553962176
179,2003.1582544463022
180,2311.2309405393394
181,2262.4691587919588
182,2371.0835086517277
183,2098.708541797908
184,2323.4781824932948
185,2031.0370855018077
186,1990.7980350637854
187,2022.164037502719
188,2182.15423012081
189,2392.1864466341385
190,2006.832823912809
191,2123.088873668938
192,2211.43497606309
193,2312.603916708955
194,2167.879570729052
195,2354.3415270718665
196,2115.0720257190324
197,2307.771285711254
198,2351.5270352917946
199,2336.068206977131
200,2253.8471689789258
201,2135.464844368562
202,2119.2333291980153
203,2131.5982497532486
204,2027.5060553624546
205,2025.433080397007
206,1970.1282723983413
207,2058.8743156003347
208,1952.653310506606
209,1989.3766104454567
210,1959.4599561368752
211,1892.3769013124222
212,1930.554223835459
213,2037.8940042315016
214,1866.7742894669545
215,1925.6914769923287
216,1886.589299395665
217,1838.9949757988318
218,1959.386278230958
219,1887.5527476987866
220,2155.4459728339366
221,1827.7035520091895
222,1906.7819731377851
223,1891.3872170079915
224,1951.7672187872342
225,1890.4130787609706
226,1882.740515318258
227,1975.8541613306036
228,2002.0223955229085
229,1949.778099658419
230,1793.173023039785
231,2170.2465254724225
232,2299.202799061243
233,2103.833506476579
234,2270.554902468237
235,2080.7198515577793
236,2102.5215588697124
237,2354.5492701321336
238,2255.936659363917
239,2278.2425369347725
240,2083.2330096295
241,2120.108808555442
242,2125.1857009616233
243,2071.956206311266
244,2268.5211174389233
245,2095.8186581268583
246,2010.383048528025
247,1856.487524445787
248,1995.4544945540495
